model_name,lambda_b,epoch,run_id,max_chars,id_x,passkey_retrieval_acc,perplexity_score,model_response,id_y,peak_vram_mb,ttft_ms,tpot_ms,cache_retention_pct,final_cache_size_mb
./Meta-Llama-3.1-8B-bnb-4bit,0.0,1,default,4000.0,937.75,1.0,1.1640625," 84729.
",937.75,8595.60986328125,156.0479998588562,64.61613115511443,1.0,124.375
./Meta-Llama-3.1-8B-bnb-4bit,0.0001,1,default,4000.0,966.3333333333334,1.0,1.1640625," 84729.
",966.3333333333334,8595.60986328125,158.57291221618652,53.46501500982987,1.0,44.6640625
./Meta-Llama-3.1-8B-bnb-4bit,0.0001,1,granular_search_20260328_171141,4000.0,784.0,1.0,1.1640625," 84729.
",784.0,8595.60986328125,215.60072898864746,56.55375279878315,1.0,44.6640625
./Meta-Llama-3.1-8B-bnb-4bit,0.00013877551020408165,1,granular_search_20260328_171141,4000.0,785.0,1.0,1.1640625," 84729.
",785.0,8595.60986328125,180.6347370147705,54.08476528368498,1.0,44.99609375
./Meta-Llama-3.1-8B-bnb-4bit,0.00017755102040816327,1,granular_search_20260328_171141,4000.0,786.0,1.0,1.1640625," 84729.
",786.0,8595.60986328125,165.8461093902588,49.362722196077044,1.0,45.05859375
./Meta-Llama-3.1-8B-bnb-4bit,0.0002,1,default,4000.0,967.3333333333334,1.0,1.1640625," 84729.
",967.3333333333334,8595.60986328125,157.19111760457358,49.62261099564402,1.0,44.9140625
./Meta-Llama-3.1-8B-bnb-4bit,0.00021632653061224493,1,granular_search_20260328_171141,4000.0,787.0,1.0,1.1640625," 84729.
",787.0,8595.60986328125,156.2039852142334,48.93942883140162,1.0,44.98046875
./Meta-Llama-3.1-8B-bnb-4bit,0.00025510204081632655,1,granular_search_20260328_171141,4000.0,788.0,1.0,1.1640625," 84729.
",788.0,8595.60986328125,164.811372756958,63.26329080682052,1.0,45.01953125
./Meta-Llama-3.1-8B-bnb-4bit,0.0002938775510204082,1,granular_search_20260328_171141,4000.0,789.0,1.0,1.1640625," 84729.
",789.0,8595.60986328125,165.45987129211426,65.84742194727848,1.0,44.84375
./Meta-Llama-3.1-8B-bnb-4bit,0.0003,1,default,4000.0,968.3333333333334,1.0,1.1640625," 84729.
",968.3333333333334,8595.60986328125,158.15607706705728,49.96578735217713,1.0,44.9921875
./Meta-Llama-3.1-8B-bnb-4bit,0.0003326530612244898,1,granular_search_20260328_171141,4000.0,790.0,1.0,1.1640625," 84729.
",790.0,8595.60986328125,161.76271438598633,62.46854129590486,1.0,44.69140625
./Meta-Llama-3.1-8B-bnb-4bit,0.00037142857142857143,1,granular_search_20260328_171141,4000.0,791.0,1.0,1.171875," 84729.
",791.0,8595.60986328125,170.19128799438477,55.188906820196856,1.0,44.74609375
./Meta-Llama-3.1-8B-bnb-4bit,0.0004,1,default,4000.0,969.3333333333334,1.0,1.171875," 84729.
",969.3333333333334,8595.60986328125,156.875212987264,75.33966867547286,1.0,44.67578125
./Meta-Llama-3.1-8B-bnb-4bit,0.00041020408163265306,1,granular_search_20260328_171141,4000.0,792.0,1.0,1.171875," 84729.
",792.0,8595.60986328125,161.11254692077637,52.41242207978901,1.0,44.609375
./Meta-Llama-3.1-8B-bnb-4bit,0.0004489795918367347,1,granular_search_20260328_171141,4000.0,793.0,1.0,1.171875," 84729.
",793.0,8595.60986328125,155.96699714660645,50.60013971830669,1.0,44.74609375
./Meta-Llama-3.1-8B-bnb-4bit,0.0004877551020408163,1,granular_search_20260328_171141,4000.0,794.0,1.0,1.1796875," 84729.
",794.0,8595.60986328125,155.2259922027588,50.65214006524337,1.0,44.9375
./Meta-Llama-3.1-8B-bnb-4bit,0.0005,1,default,4000.0,1001.0,1.0,1.1796875," 84729.
",1001.0,8595.60986328125,156.9981575012207,50.611389310736406,1.0,44.75
./Meta-Llama-3.1-8B-bnb-4bit,0.000526530612244898,1,granular_search_20260328_171141,4000.0,795.0,1.0,1.1796875," 84729.
",795.0,8595.60986328125,154.59203720092773,50.5919707448859,1.0,44.8359375
./Meta-Llama-3.1-8B-bnb-4bit,0.0005653061224489797,1,granular_search_20260328_171141,4000.0,796.0,1.0,1.1875," 84729.
",796.0,8595.60986328125,156.1903953552246,51.75508950885973,1.0,44.78515625
./Meta-Llama-3.1-8B-bnb-4bit,0.0006,1,default,4000.0,971.0,1.0,1.1875," 84729.
",971.0,8595.60986328125,156.95834159851074,49.21101687247293,1.0,44.92578125
