run_id,model_name,lambda_b,success,total_turns,failure_turn,final_response,peak_vram_mb,avg_cache_mb,timestamp
v4_gpt-oss-20b_L0.0_20260331_221151,openai/gpt-oss-20b,0.0,1.0,4,,QUANTUM_ECHO_99,39930.53759765625,17.671966552734375,2026-03-31 22:13:01
v4_gpt-oss-20b_L5e-05_20260331_221151,openai/gpt-oss-20b,5e-05,1.0,5,,QUANTUM_ECHO_99,39945.05419921875,21.295404052734376,2026-03-31 22:14:18
v4_gpt-oss-20b_L7.500000000000001e-05_20260331_221151,openai/gpt-oss-20b,7.500000000000001e-05,0.0,3,3.0,NO_PASSCODE_FOUND,39927.18603515625,16.343841552734375,2026-03-31 22:15:04
v4_gpt-oss-20b_L0.0001_20260331_221151,openai/gpt-oss-20b,0.0001,0.0,4,4.0,The passcode could not be retrieved with the available queries; no matching download records were found for employee ID EMP8842.,39926.24853515625,15.023529052734375,2026-03-31 22:16:00
v4_gpt-oss-20b_L0.000125_20260331_221151,openai/gpt-oss-20b,0.000125,1.0,5,,QUANTUM_ECHO_99,39932.50634765625,19.003216552734376,2026-03-31 22:17:15
v4_gemma-3-27b-it_L0.0_20260331_222029,google/gemma-3-27b-it,0.0,0.0,10,10.0,Amnesia Loop / Max Turns,16122.3583984375,0.0,2026-03-31 22:29:16
v4_gemma-3-27b-it_L5e-05_20260331_222029,google/gemma-3-27b-it,5e-05,0.0,10,10.0,Amnesia Loop / Max Turns,16109.8837890625,0.0,2026-03-31 22:39:16
v4_gemma-3-27b-it_L7.500000000000001e-05_20260331_222029,google/gemma-3-27b-it,7.500000000000001e-05,0.0,6,6.0,ERROR_NO_FILE_DOWNLOADED,15993.8525390625,0.0,2026-03-31 22:44:43
v4_gemma-3-27b-it_L0.0001_20260331_222029,google/gemma-3-27b-it,0.0001,0.0,10,10.0,Amnesia Loop / Max Turns,16115.7763671875,0.0,2026-03-31 22:53:20
v4_gemma-3-27b-it_L0.000125_20260331_222029,google/gemma-3-27b-it,0.000125,0.0,10,10.0,Amnesia Loop / Max Turns,16113.5830078125,0.0,2026-03-31 23:02:08
v4_Qwen3-Coder-30B-A3B-Instruct_L0.0_20260331_230535,Qwen/Qwen3-Coder-30B-A3B-Instruct,0.0,1.0,6,,QUANTUM_ECHO_99,57039.068359375,54.71875,2026-03-31 23:08:47
v4_Qwen3-Coder-30B-A3B-Instruct_L5e-05_20260331_230535,Qwen/Qwen3-Coder-30B-A3B-Instruct,5e-05,1.0,6,,QUANTUM_ECHO_99,57039.818359375,54.609375,2026-03-31 23:11:52
v4_Qwen3-Coder-30B-A3B-Instruct_L7.500000000000001e-05_20260331_230535,Qwen/Qwen3-Coder-30B-A3B-Instruct,7.500000000000001e-05,0.0,6,6.0,ACCESS_DENIED,57032.880859375,53.0,2026-03-31 23:15:02
v4_Qwen3-Coder-30B-A3B-Instruct_L0.0001_20260331_230535,Qwen/Qwen3-Coder-30B-A3B-Instruct,0.0001,1.0,6,,QUANTUM_ECHO_99,57039.162109375,54.9375,2026-03-31 23:18:13
v4_Qwen3-Coder-30B-A3B-Instruct_L0.000125_20260331_230535,Qwen/Qwen3-Coder-30B-A3B-Instruct,0.000125,0.0,5,5.0,NO_ACCESS_LOGS_FOUND,57027.349609375,49.33125,2026-03-31 23:20:46
v4_Devstral-Small-2-24B-Instruct-2512_L0.0_20260331_232231,mistralai/Devstral-Small-2-24B-Instruct-2512,0.0,1.0,5,,QUANTUM_ECHO_99,45949.1865234375,0.0,2026-03-31 23:23:47
v4_Devstral-Small-2-24B-Instruct-2512_L5e-05_20260331_232231,mistralai/Devstral-Small-2-24B-Instruct-2512,5e-05,1.0,5,,QUANTUM_ECHO_99,45950.3251953125,0.0,2026-03-31 23:25:00
v4_Devstral-Small-2-24B-Instruct-2512_L7.500000000000001e-05_20260331_232231,mistralai/Devstral-Small-2-24B-Instruct-2512,7.500000000000001e-05,1.0,5,,QUANTUM_ECHO_99,45949.7197265625,0.0,2026-03-31 23:26:11
v4_Devstral-Small-2-24B-Instruct-2512_L0.0001_20260331_232231,mistralai/Devstral-Small-2-24B-Instruct-2512,0.0001,1.0,6,,QUANTUM_ECHO_99,45957.3583984375,0.0,2026-03-31 23:27:39
v4_Devstral-Small-2-24B-Instruct-2512_L0.000125_20260331_232231,mistralai/Devstral-Small-2-24B-Instruct-2512,0.000125,1.0,6,,QUANTUM_ECHO_99,45958.0146484375,0.0,2026-03-31 23:29:08
