run_id,model_name,lambda_b,success,total_turns,failure_turn,final_response,peak_vram_mb,avg_cache_mb,timestamp
v4_gpt-oss-20b_L0.0_20260330_214716,openai/gpt-oss-20b,0.0,0.0,5,5.0,NO_PASSCODE_FOUND,44791.671875,0.0,2026-03-30 21:48:44
v4_gpt-oss-20b_L5e-05_20260330_214716,openai/gpt-oss-20b,5e-05,1.0,6,,QUANTUM_ECHO_99,44791.671875,0.0,2026-03-30 21:50:14
v4_gpt-oss-20b_L7.500000000000001e-05_20260330_214716,openai/gpt-oss-20b,7.500000000000001e-05,0.0,3,3.0,The passcode is 8b5f93d3-abc1-4567-8e90-1234567890ab,44791.671875,0.0,2026-03-30 21:51:01
v4_gpt-oss-20b_L0.0001_20260330_214716,openai/gpt-oss-20b,0.0001,1.0,6,,QUANTUM_ECHO_99,44791.671875,0.0,2026-03-30 21:52:25
v4_gpt-oss-20b_L0.000125_20260330_214716,openai/gpt-oss-20b,0.000125,1.0,5,,QUANTUM_ECHO_99,44791.671875,0.0,2026-03-30 21:53:40
v4_gemma-3-27b-it_L0.0_20260330_215701,google/gemma-3-27b-it,0.0,0.0,10,10.0,Amnesia Loop / Max Turns,49180.1181640625,0.0,2026-03-30 22:06:25
v4_gemma-3-27b-it_L5e-05_20260330_215701,google/gemma-3-27b-it,5e-05,0.0,10,10.0,>&lt;;QUANTUM＿ECHO＿99,49180.1181640625,0.0,2026-03-30 22:16:47
v4_gemma-3-27b-it_L7.500000000000001e-05_20260330_215701,google/gemma-3-27b-it,7.500000000000001e-05,0.0,10,10.0,Amnesia Loop / Max Turns,49180.1181640625,0.0,2026-03-30 22:26:39
v4_gemma-3-27b-it_L0.0001_20260330_215701,google/gemma-3-27b-it,0.0001,0.0,10,10.0,Amnesia Loop / Max Turns,49180.1181640625,0.0,2026-03-30 22:35:08
v4_gemma-3-27b-it_L0.000125_20260330_215701,google/gemma-3-27b-it,0.000125,0.0,10,10.0,Amnesia Loop / Max Turns,49180.1181640625,0.0,2026-03-30 22:45:49
v4_Qwen3-Coder-30B-A3B-Instruct_L0.0_20260330_224919,Qwen/Qwen3-Coder-30B-A3B-Instruct,0.0,0.0,6,6.0,NO_ACCESS_LOGS_FOUND,57754.2421875,0.0,2026-03-30 22:52:34
v4_Qwen3-Coder-30B-A3B-Instruct_L5e-05_20260330_224919,Qwen/Qwen3-Coder-30B-A3B-Instruct,5e-05,0.0,5,5.0,ACCESS_DENIED,57754.2421875,0.0,2026-03-30 22:55:15
v4_Qwen3-Coder-30B-A3B-Instruct_L7.500000000000001e-05_20260330_224919,Qwen/Qwen3-Coder-30B-A3B-Instruct,7.500000000000001e-05,0.0,5,5.0,NO_ACCESS_RECORD,57754.2421875,0.0,2026-03-30 22:57:54
v4_Qwen3-Coder-30B-A3B-Instruct_L0.0001_20260330_224919,Qwen/Qwen3-Coder-30B-A3B-Instruct,0.0001,1.0,7,,QUANTUM_ECHO_99,57754.2421875,0.0,2026-03-30 23:01:42
v4_Qwen3-Coder-30B-A3B-Instruct_L0.000125_20260330_224919,Qwen/Qwen3-Coder-30B-A3B-Instruct,0.000125,1.0,8,,QUANTUM_ECHO_99,57754.2421875,0.0,2026-03-30 23:06:09
