run_id,model_name,lambda_b,success,total_turns,failure_turn,final_response,peak_vram_mb,avg_cache_mb,timestamp
v4_gpt-oss-20b_L0.0_20260331_201131,openai/gpt-oss-20b,0.0,1.0,5,,QUANTUM_ECHO_99,39931.08837890625,18.909466552734376,2026-03-31 20:12:54
v4_gpt-oss-20b_L5e-05_20260331_201131,openai/gpt-oss-20b,5e-05,1.0,5,,QUANTUM_ECHO_99,39928.76806640625,17.620404052734376,2026-03-31 20:14:06
v4_gpt-oss-20b_L7.500000000000001e-05_20260331_201131,openai/gpt-oss-20b,7.500000000000001e-05,1.0,3,,QUANTUM_ECHO_99,39926.54150390625,16.578216552734375,2026-03-31 20:14:52
v4_gpt-oss-20b_L0.0001_20260331_201131,openai/gpt-oss-20b,0.0001,1.0,4,,QUANTUM_ECHO_99,39927.54931640625,16.705169677734375,2026-03-31 20:15:51
v4_gpt-oss-20b_L0.000125_20260331_201131,openai/gpt-oss-20b,0.000125,1.0,7,,QUANTUM_ECHO_99,39936.77392578125,20.263484409877233,2026-03-31 20:17:28
v4_gemma-3-27b-it_L0.0_20260331_202047,google/gemma-3-27b-it,0.0,0.0,10,10.0,Amnesia Loop / Max Turns,16117.1142578125,0.0,2026-03-31 20:31:14
v4_gemma-3-27b-it_L5e-05_20260331_202047,google/gemma-3-27b-it,5e-05,0.0,10,10.0,Amnesia Loop / Max Turns,16096.5908203125,0.0,2026-03-31 20:40:07
v4_gemma-3-27b-it_L7.500000000000001e-05_20260331_202047,google/gemma-3-27b-it,7.500000000000001e-05,0.0,0,0.0,LangGraph Execution Crash: argument of type 'NoneType' is not iterable,49498.20361328125,0.0,2026-03-31 20:47:56
v4_gemma-3-27b-it_L0.0001_20260331_202047,google/gemma-3-27b-it,0.0001,0.0,10,10.0,Amnesia Loop / Max Turns,16102.3564453125,0.0,2026-03-31 20:56:51
v4_gemma-3-27b-it_L0.000125_20260331_202047,google/gemma-3-27b-it,0.000125,0.0,10,10.0,Amnesia Loop / Max Turns,16099.107421875,0.0,2026-03-31 21:05:48
v4_Qwen3-Coder-30B-A3B-Instruct_L0.0_20260331_210917,Qwen/Qwen3-Coder-30B-A3B-Instruct,0.0,1.0,6,,QUANTUM_ECHO_99,57045.630859375,52.515625,2026-03-31 21:12:25
v4_Qwen3-Coder-30B-A3B-Instruct_L5e-05_20260331_210917,Qwen/Qwen3-Coder-30B-A3B-Instruct,5e-05,1.0,6,,QUANTUM_ECHO_99,57045.349609375,53.0,2026-03-31 21:15:37
v4_Qwen3-Coder-30B-A3B-Instruct_L7.500000000000001e-05_20260331_210917,Qwen/Qwen3-Coder-30B-A3B-Instruct,7.500000000000001e-05,1.0,8,,QUANTUM_ECHO_99,57054.162109375,57.609375,2026-03-31 21:20:00
v4_Qwen3-Coder-30B-A3B-Instruct_L0.0001_20260331_210917,Qwen/Qwen3-Coder-30B-A3B-Instruct,0.0001,1.0,6,,QUANTUM_ECHO_99,57045.443359375,53.4375,2026-03-31 21:23:15
v4_Qwen3-Coder-30B-A3B-Instruct_L0.000125_20260331_210917,Qwen/Qwen3-Coder-30B-A3B-Instruct,0.000125,1.0,7,,QUANTUM_ECHO_99,57051.818359375,57.870535714285715,2026-03-31 21:27:04
v4_Devstral-Small-2-24B-Instruct-2512_L0.0_20260331_212852,mistralai/Devstral-Small-2-24B-Instruct-2512,0.0,1.0,5,,QUANTUM_ECHO_99,45950.5732421875,0.0,2026-03-31 21:30:10
v4_Devstral-Small-2-24B-Instruct-2512_L5e-05_20260331_212852,mistralai/Devstral-Small-2-24B-Instruct-2512,5e-05,1.0,5,,QUANTUM_ECHO_99,45949.3388671875,0.0,2026-03-31 21:31:25
v4_Devstral-Small-2-24B-Instruct-2512_L7.500000000000001e-05_20260331_212852,mistralai/Devstral-Small-2-24B-Instruct-2512,7.500000000000001e-05,1.0,5,,QUANTUM_ECHO_99,45950.4306640625,0.0,2026-03-31 21:32:41
v4_Devstral-Small-2-24B-Instruct-2512_L0.0001_20260331_212852,mistralai/Devstral-Small-2-24B-Instruct-2512,0.0001,1.0,7,,QUANTUM_ECHO_99,45975.5888671875,0.0,2026-03-31 21:34:29
v4_Devstral-Small-2-24B-Instruct-2512_L0.000125_20260331_212852,mistralai/Devstral-Small-2-24B-Instruct-2512,0.000125,1.0,5,,QUANTUM_ECHO_99,45950.5732421875,0.0,2026-03-31 21:35:46
