run_id,model_name,lambda_b,success,total_turns,failure_turn,final_response,peak_vram_mb,avg_cache_mb,timestamp
v4_gpt-oss-20b_L0.0_20260331_181927,openai/gpt-oss-20b,0.0,1.0,5,,QUANTUM_ECHO_99,39932.56103515625,0.0,2026-03-31 18:20:51
v4_gpt-oss-20b_L5e-05_20260331_181927,openai/gpt-oss-20b,5e-05,0.0,1,1.0,UNKNOWN,39920.37353515625,0.0,2026-03-31 18:21:05
v4_gpt-oss-20b_L7.500000000000001e-05_20260331_181927,openai/gpt-oss-20b,7.500000000000001e-05,1.0,3,,QUANTUM_ECHO_99,39928.24853515625,0.0,2026-03-31 18:21:52
v4_gpt-oss-20b_L0.0001_20260331_181927,openai/gpt-oss-20b,0.0001,1.0,5,,QUANTUM_ECHO_99,39930.31103515625,0.0,2026-03-31 18:23:01
v4_gpt-oss-20b_L0.000125_20260331_181927,openai/gpt-oss-20b,0.000125,1.0,6,,QUANTUM_ECHO_99,39935.20947265625,0.0,2026-03-31 18:24:25
v4_gemma-3-27b-it_L0.0_20260331_182743,google/gemma-3-27b-it,0.0,0.0,10,10.0,Amnesia Loop / Max Turns,16098.0791015625,0.0,2026-03-31 18:36:39
v4_gemma-3-27b-it_L5e-05_20260331_182743,google/gemma-3-27b-it,5e-05,0.0,10,10.0,Amnesia Loop / Max Turns,16103.203125,0.0,2026-03-31 18:45:36
v4_gemma-3-27b-it_L7.500000000000001e-05_20260331_182743,google/gemma-3-27b-it,7.500000000000001e-05,0.0,10,10.0,Amnesia Loop / Max Turns,16108.16015625,0.0,2026-03-31 18:54:31
v4_gemma-3-27b-it_L0.0001_20260331_182743,google/gemma-3-27b-it,0.0001,0.0,10,10.0,Amnesia Loop / Max Turns,16101.6982421875,0.0,2026-03-31 19:04:37
v4_gemma-3-27b-it_L0.000125_20260331_182743,google/gemma-3-27b-it,0.000125,0.0,10,10.0,Amnesia Loop / Max Turns,16112.1591796875,0.0,2026-03-31 19:13:19
v4_Qwen3-Coder-30B-A3B-Instruct_L0.0_20260331_191656,Qwen/Qwen3-Coder-30B-A3B-Instruct,0.0,1.0,5,,QUANTUM_ECHO_99,57036.724609375,0.0,2026-03-31 19:19:31
v4_Qwen3-Coder-30B-A3B-Instruct_L5e-05_20260331_191656,Qwen/Qwen3-Coder-30B-A3B-Instruct,5e-05,0.0,7,7.0,NO_ACCESS,57042.818359375,0.0,2026-03-31 19:23:10
v4_Qwen3-Coder-30B-A3B-Instruct_L7.500000000000001e-05_20260331_191656,Qwen/Qwen3-Coder-30B-A3B-Instruct,7.500000000000001e-05,0.0,6,6.0,NO_ACCESS_RECORD_FOUND,57037.287109375,0.0,2026-03-31 19:26:22
v4_Qwen3-Coder-30B-A3B-Instruct_L0.0001_20260331_191656,Qwen/Qwen3-Coder-30B-A3B-Instruct,0.0001,0.0,5,5.0,ACCESS_DENIED,57030.255859375,0.0,2026-03-31 19:28:57
v4_Qwen3-Coder-30B-A3B-Instruct_L0.000125_20260331_191656,Qwen/Qwen3-Coder-30B-A3B-Instruct,0.000125,1.0,6,,QUANTUM_ECHO_99,57043.380859375,0.0,2026-03-31 19:32:03
v4_Devstral-Small-2-24B-Instruct-2512_L0.0_20260331_193354,mistralai/Devstral-Small-2-24B-Instruct-2512,0.0,1.0,5,,QUANTUM_ECHO_99,45951.3779296875,0.0,2026-03-31 19:35:09
v4_Devstral-Small-2-24B-Instruct-2512_L5e-05_20260331_193354,mistralai/Devstral-Small-2-24B-Instruct-2512,5e-05,1.0,5,,QUANTUM_ECHO_99,45950.7197265625,0.0,2026-03-31 19:36:22
v4_Devstral-Small-2-24B-Instruct-2512_L7.500000000000001e-05_20260331_193354,mistralai/Devstral-Small-2-24B-Instruct-2512,7.500000000000001e-05,1.0,5,,QUANTUM_ECHO_99,45951.3779296875,0.0,2026-03-31 19:37:35
v4_Devstral-Small-2-24B-Instruct-2512_L0.0001_20260331_193354,mistralai/Devstral-Small-2-24B-Instruct-2512,0.0001,1.0,5,,QUANTUM_ECHO_99,45951.1201171875,0.0,2026-03-31 19:38:48
v4_Devstral-Small-2-24B-Instruct-2512_L0.000125_20260331_193354,mistralai/Devstral-Small-2-24B-Instruct-2512,0.000125,1.0,5,,QUANTUM_ECHO_99,45951.1201171875,0.0,2026-03-31 19:39:58
